autor_id,nombre,institucion,articulos,citas,betweenness,degree
https://openalex.org/A5077204968,Kai Sonder,Centro Internacional de Mejoramiento de Maíz Y Trigo,4,1569,0.5887445887445888,5
https://openalex.org/A5089922603,Alison R. Bentley,Centro Internacional de Mejoramiento de Maíz Y Trigo,3,661,0.5194805194805194,6
https://openalex.org/A5076778683,Khondoker Abdul Mottaleb,Centro Internacional de Mejoramiento de Maíz Y Trigo,4,1572,0.30303030303030304,5
https://openalex.org/A5049389291,Osval A. Montesinos‐López,Universidad de Colima,5,987,0.1551226551226551,10
https://openalex.org/A5068049825,Olaf Erenstein,Centro Internacional de Mejoramiento de Maíz Y Trigo,6,2351,0.12987012987012986,4
https://openalex.org/A5076158905,José Crossa,Centro Internacional de Mejoramiento de Maíz Y Trigo,11,3123,0.10101010101010098,9
https://openalex.org/A5037946457,Susanne Dreisigacker,Centro Internacional de Mejoramiento de Maíz Y Trigo,4,818,0.10101010101010098,9
https://openalex.org/A5013640580,Gideon Kruseman,Centro Internacional de Mejoramiento de Maíz Y Trigo,3,547,0.09090909090909091,2
https://openalex.org/A5000458971,Matthew Reynolds,Centro Internacional de Mejoramiento de Maíz Y Trigo,9,2035,0.09090909090909091,2
https://openalex.org/A5073272621,Dil Bahadur Rahut,Centro Internacional de Mejoramiento de Maíz Y Trigo,8,1746,0.08225108225108226,5
https://openalex.org/A5022989406,Jeetendra Prakash Aryal,Centro Internacional de Mejoramiento de Maíz Y Trigo,6,1428,0.08225108225108226,5
https://openalex.org/A5031038442,Abelardo Montesinos‐López,Universidad de Guadalajara,4,756,0.032467532467532464,5
https://openalex.org/A5018700326,Gemma Molero,Centro Internacional de Mejoramiento de Maíz Y Trigo,3,421,0.0,1
https://openalex.org/A5056099281,Philomin Juliana,Centro Internacional de Mejoramiento de Maíz Y Trigo,3,1394,0.0,7
https://openalex.org/A5059664632,Ravi P. Singh,Centro Internacional de Mejoramiento de Maíz Y Trigo,8,2263,0.0,7
https://openalex.org/A5032652567,Clare Stirling,Centro Internacional de Mejoramiento de Maíz Y Trigo,5,1130,0.0,3
https://openalex.org/A5009404553,Suchismita Mondal,Centro Internacional de Mejoramiento de Maíz Y Trigo,3,695,0.0,7
https://openalex.org/A5073803808,Paulino Pérez‐Rodríguez,Colegio de Postgraduados,4,962,0.0,7
https://openalex.org/A5081220480,Bram Govaerts,Centro Internacional de Mejoramiento de Maíz Y Trigo,3,588,0.0,2
https://openalex.org/A5047760994,Tek B. Sapkota,Centro Internacional de Mejoramiento de Maíz Y Trigo,3,705,0.0,3
https://openalex.org/A5105407837,Carlos Hernández-Suárez,Universidad de Colima,3,508,0.0,2
https://openalex.org/A5008907194,Natalia Palacios‐Rojas,Centro Internacional de Mejoramiento de Maíz Y Trigo,4,696,0.0,1
https://openalex.org/A5003947009,Julio Huerta‐Espino,Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,3,707,0.0,7
